"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"c:\Users\Tristan\Downloads\ExoSeer\CNN.py", "Python", 0, 315, 0, 23, 60, 398
"c:\Users\Tristan\Downloads\ExoSeer\CNNTesting_binAccuracy.py", "Python", 0, -132, 0, -19, -41, -192
"c:\Users\Tristan\Downloads\ExoSeer\CNN_accuracy.py", "Python", 0, -132, 0, -19, -41, -192
"c:\Users\Tristan\Downloads\ExoSeer\README.md", "Markdown", 19, 0, 0, 0, 13, 32
"c:\Users\Tristan\Downloads\ExoSeer\Visiuals\ROC-AUC.py", "Python", 0, 111, 0, 13, 37, 161
"c:\Users\Tristan\Downloads\ExoSeer\Visiuals\trainVal.py", "Python", 0, 39, 0, 1, 8, 48
"c:\Users\Tristan\Downloads\ExoSeer\gradientBoost.py", "Python", 0, -117, 0, -21, -34, -172
"c:\Users\Tristan\Downloads\ExoSeer\graphs.ipynb", "JSON", 0, 0, -358, 0, -1, -359
"c:\Users\Tristan\Downloads\ExoSeer\lineAnalysis.py", "Python", 0, -2, 0, 1, -3, -4
"c:\Users\Tristan\Downloads\ExoSeer\lineAnalysisTesting.ipynb", "JSON", 0, 0, 3, 0, 0, 3
"c:\Users\Tristan\Downloads\ExoSeer\test.py", "Python", 0, -160, 0, -9, -52, -221
"c:\Users\Tristan\Downloads\ExoSeer\testing.py", "Python", 0, -2, 0, -1, -1, -4
"Total", "-", 19, -80, -355, -31, -55, -502
