531 1500.003314 9.071E-30 6.862E+01.08140.105 5506.42170.770.000000       3 0 0 3        0 1 1 3                     P 72      335540 1 1 1 1 1 0   143.0  145.0
531 1500.006084 3.209E-25 6.806E+01.09590.116 3217.21410.590.000000       0 0 0 3        0 0 0 2                     P 38      336650 1 1 1 1 1 0    75.0   77.0
531 1500.028664 3.261E-21 9.461E+01.07850.100 1546.56230.770.000000       0 2 0 1        0 2 0 0                     P 82      335540 1 1 1 1 1 0   163.0  165.0
531 1500.033191 3.570E-21 6.749E+01.07390.092 1499.47890.760.000000       0 1 1 1        0 1 1 0                     P100      334440 1 1 1 1 1 0   199.0  201.0
531 1500.094477 1.143E-21 6.767E+01.08470.109 1635.33470.750.000000       0 3 1 1        0 3 1 0                     P 62      335540 1 1 1 1 1 0   123.0  125.0
531 1500.105391 6.681E-21 3.040E+02.07490.094 1671.69250.760.000000       1 0 0 1        1 0 0 0                     P 96      334440 1 1 1 1 1 0   191.0  193.0
531 1500.122645 7.354E-23 6.759E+01.07880.101 2254.91740.770.000000       0 0 0 2        0 0 0 1                     P 81      335540 1 1 1 1 1 0   161.0  163.0
531 1500.126375 1.787E-25 6.780E-02.08940.113 1972.84330.690.000000       2 1 1 1        2 1 1 0                     P 50      335550 1 1 1 1 1 0    99.0  101.0
531 1500.140059 1.312E-20 3.378E+02.07880.101 1519.43410.770.000000       0 2 2 1        0 2 2 0                     P 81      335540 1 1 1 1 1 0   161.0  163.0
531 1500.226223 3.941E-25 6.766E-02.08140.105 1885.33860.770.000000       2 0 0 1        2 0 0 0                     P 72      335540 1 1 1 1 1 0   143.0  145.0
531 1500.252126 3.297E-21 2.029E+02.08020.103 1685.43340.770.000000       1 1 1 1        1 1 1 0                     P 76      335540 1 1 1 1 1 0   151.0  153.0
531 1500.260181 2.365E-21 3.390E+02.08690.111 1796.09250.730.000000       1 2 0 1        1 2 0 0                     P 56      335540 1 1 1 1 1 0   111.0  113.0
531 1500.413704 3.946E-21 6.755E+01.07420.093 1476.88940.760.000000       0 1 1 1        0 1 1 0                     P 99      334440 1 1 1 1 1 0   197.0  199.0
531 1500.420698 1.850E-25 6.789E-02.08990.114 1961.69820.680.000000       2 1 1 1        2 1 1 0                     P 49      336650 1 1 1 1 1 0    97.0   99.0
531 1500.425277 1.205E-21 6.773E+01.08500.109 1621.18470.750.000000       0 3 1 1        0 3 1 0                     P 61      335540 1 1 1 1 1 0   121.0  123.0
531 1500.468552 1.412E-20 3.380E+02.07910.101 1501.75430.770.000000       0 2 2 1        0 2 2 0                     P 80      335540 1 1 1 1 1 0   159.0  161.0
531 1500.527294 5.691E-27 6.799E-03.09240.115 2182.13490.630.000000       3 0 0 1        3 0 0 0                     P 44      336650 1 1 1 1 1 0    87.0   89.0
531 1500.540303 3.289E-25 6.817E+01.09720.117 3201.06400.590.000000       0 0 0 3        0 0 0 2                     P 36      336650 1 1 1 1 1 0    71.0   73.0
531 1500.590272 3.534E-21 2.029E+02.08050.103 1668.35760.770.000000       1 1 1 1        1 1 1 0                     P 75      335540 1 1 1 1 1 0   149.0  151.0
531 1500.596001 1.024E-29 6.873E+01.08200.106 5475.80510.770.000000       3 0 0 3        0 1 1 3                     P 70      335540 1 1 1 1 1 0   139.0  141.0
531 1500.603909 3.699E-21 5.454E+01.07040.086 1478.88920.740.000000       0 0 0 1        0 0 0 0                     P116      464440 1 2 1 1 1 0   231.0  233.0
531 1500.693564 3.784E-21 9.473E+01.07910.101 1510.91600.770.000000       0 2 0 1        0 2 0 0                     P 80      335540 1 1 1 1 1 0   159.0  161.0
531 1500.698409 1.907E-25 6.794E-02.09030.114 1951.24220.670.000000       2 1 1 1        2 1 1 0                     P 48      336650 1 1 1 1 1 0    95.0   97.0
531 1500.704331 1.262E-21 6.779E+01.08540.110 1608.36100.750.000000       0 3 1 1        0 3 1 0                     P 60      335540 1 1 1 1 1 0   119.0  121.0
531 1500.747801 4.323E-21 6.759E+01.07440.093 1456.04110.760.000000       0 1 1 1        0 1 1 0                     P 98      334440 1 1 1 1 1 0   195.0  197.0
531 1500.780259 8.499E-23 6.768E+01.07930.101 2220.05750.770.000000       0 0 0 2        0 0 0 1                     P 79      335540 1 1 1 1 1 0   157.0  159.0
531 1500.801136 1.519E-20 3.383E+02.07930.101 1484.21400.770.000000       0 2 2 1        0 2 2 0                     P 79      335540 1 1 1 1 1 0   157.0  159.0
531 1500.807466 8.004E-21 3.042E+02.07540.095 1630.14950.760.000000       1 0 0 1        1 0 0 0                     P 94      334440 1 1 1 1 1 0   187.0  189.0
531 1500.851453 2.567E-21 3.395E+02.08770.112 1771.82640.720.000000       1 2 0 1        1 2 0 0                     P 54      335540 1 1 1 1 1 0   107.0  109.0
531 1500.859657 4.458E-25 6.775E-02.08200.106 1854.25060.770.000000       2 0 0 1        2 0 0 0                     P 70      335540 1 1 1 1 1 0   139.0  141.0
531 1500.898201 3.768E-21 2.031E+02.08080.104 1652.47870.770.000000       1 1 1 1        1 1 1 0                     P 74      335540 1 1 1 1 1 0   147.0  149.0
531 1500.989714 1.967E-25 6.798E-02.09080.114 1940.55160.660.000000       2 1 1 1        2 1 1 0                     P 47      336650 1 1 1 1 1 0    93.0   95.0
531 1501.031261 1.327E-21 6.787E+01.08580.110 1594.68430.740.000000       0 3 1 1        0 3 1 0                     P 59      335540 1 1 1 1 1 0   117.0  119.0
531 1501.068862 3.347E-25 6.830E+01.09870.118 3185.77480.590.000000       0 0 0 3        0 0 0 2                     P 34      336650 1 1 1 1 1 0    67.0   69.0
531 1501.080982 5.957E-27 6.810E-03.09350.115 2163.23060.620.000000       3 0 0 1        3 0 0 0                     P 42      336650 1 1 1 1 1 0    83.0   85.0
