161 1503.868880 8.087E-54 8.112E+00.01500.05017019.08130.500.000000              4              3                    P 36      453400 6 3 1 1 0 0   568.0  584.0
161 1504.202130 4.286E-55 8.149E+00.01500.05017606.09330.500.000000              5              4                    P 33      453400 6 3 1 1 0 0   520.0  536.0
161 1511.973770 7.587E-58 3.905E+00.01500.05018706.36740.500.000000              7              6                    P 26      353400 6 3 1 1 0 0   408.0  424.0
161 1516.986957 7.044E-51 5.309E+00.01500.05015562.70640.500.000000              2              1                    P 41      453400 6 3 1 1 0 0   648.0  664.0
161 1524.071933 7.948E-56 7.079E+00.01500.05017891.39570.500.000000              6              5                    P 29      453400 6 3 1 1 0 0   456.0  472.0
161 1526.171689 1.081E-51 7.231E+00.01500.05015993.49590.500.000000              3              2                    P 38      453400 6 3 1 1 0 0   600.0  616.0
161 1530.159477 3.604E-54 8.500E+00.01500.05017163.27550.500.000000              5              4                    P 32      453400 6 3 1 1 0 0   504.0  520.0
161 1530.706337 8.526E-53 8.406E+00.01500.05016528.69730.500.000000              4              3                    P 35      453400 6 3 1 1 0 0   552.0  568.0
161 1535.623164 4.011E-57 4.286E+00.01500.05018368.35680.500.000000              7              6                    P 25      353400 6 3 1 1 0 0   392.0  408.0
161 1545.232561 1.125E-49 5.479E+00.01500.05014986.43620.500.000000              2              1                    P 40      453400 6 3 1 1 0 0   632.0  648.0
161 1548.786908 5.079E-55 7.462E+00.01500.05017506.68880.500.000000              6              5                    P 28      453400 6 3 1 1 0 0   440.0  456.0
161 1553.626175 1.365E-50 7.462E+00.01500.05015465.45520.500.000000              3              2                    P 37      453400 6 3 1 1 0 0   584.0  600.0
161 1555.855794 2.866E-53 8.836E+00.01500.05016731.19940.500.000000              5              4                    P 31      453400 6 3 1 1 0 0   488.0  504.0
161 1557.312476 8.522E-52 8.690E+00.01500.05016048.78080.500.000000              4              3                    P 34      453400 6 3 1 1 0 0   536.0  552.0
161 1558.949176 1.983E-56 4.652E+00.01500.05018041.65020.500.000000              7              6                    P 24      353400 6 3 1 1 0 0   376.0  392.0
161 1573.208510 3.057E-54 7.826E+00.01500.05017133.15890.500.000000              6              5                    P 27      453400 6 3 1 1 0 0   424.0  440.0
161 1573.301938 1.709E-48 5.645E+00.01500.05014420.19390.500.000000              2              1                    P 39      453400 6 3 1 1 0 0   616.0  632.0
161 1580.876121 1.635E-49 7.686E+00.01500.05014947.82120.500.000000              3              2                    P 36      453400 6 3 1 1 0 0   568.0  584.0
161 1581.288566 2.153E-52 9.156E+00.01500.05016310.10720.500.000000              5              4                    P 30      453400 6 3 1 1 0 0   472.0  488.0
161 1581.948490 9.169E-56 4.999E+00.01500.05017726.44590.500.000000              7              6                    P 23      353400 6 3 1 1 0 0   360.0  376.0
161 1583.684826 8.067E-51 8.963E+00.01500.05015579.59060.500.000000              4              3                    P 33      453400 6 3 1 1 0 0   520.0  536.0
161 1590.010698 1.415E-46 3.130E+00.01500.05013396.42550.500.000000              1              0                    P 41      463400 6 3 1 1 0 0   648.0  664.0
161 1597.333626 1.732E-53 8.169E+00.01500.05016771.02320.500.000000              6              5                    P 26      453400 6 3 1 1 0 0   408.0  424.0
161 1601.192009 2.465E-47 5.807E+00.01500.05013864.26320.500.000000              2              1                    P 38      453400 6 3 1 1 0 0   600.0  616.0
161 1604.617381 3.967E-55 5.326E+00.01500.05017422.93430.500.000000              7              6                    P 22      353400 6 3 1 1 0 0   344.0  360.0
161 1606.454784 1.527E-51 9.460E+00.01500.05015900.23400.500.000000              5              4                    P 29      453400 6 3 1 1 0 0   456.0  472.0
161 1607.918494 1.857E-48 7.903E+00.01500.05014440.86230.500.000000              3              2                    P 35      453400 6 3 1 1 0 0   552.0  568.0
161 1609.820398 7.224E-50 9.225E+00.01500.05015121.37900.500.000000              4              3                    P 32      453400 6 3 1 1 0 0   504.0  520.0
161 1618.532865 2.466E-45 3.219E+00.01500.05012801.66110.500.000000              1              0                    P 40      463400 6 3 1 1 0 0   632.0  648.0
161 1621.158675 9.228E-53 8.492E+00.01500.05016420.49150.500.000000              6              5                    P 25      453400 6 3 1 1 0 0   392.0  408.0
161 1626.951737 1.606E-54 5.632E+00.01500.05017131.29830.500.000000              7              6                    P 21      353400 6 3 1 1 0 0   328.0  344.0
161 1628.899229 3.374E-46 5.965E+00.01500.05013318.92200.500.000000              2              1                    P 37      453400 6 3 1 1 0 0   584.0  600.0
161 1631.350973 1.021E-50 9.749E+00.01500.05015501.80790.500.000000              5              4                    P 28      453400 6 3 1 1 0 0   440.0  456.0
161 1634.749780 1.996E-47 8.113E+00.01500.05013944.84090.500.000000              3              2                    P 34      453400 6 3 1 1 0 0   536.0  552.0
161 1635.715735 6.112E-49 9.476E+00.01500.05014674.39140.500.000000              4              3                    P 31      453400 6 3 1 1 0 0   488.0  504.0
161 1644.679689 4.621E-52 8.794E+00.01500.05016081.76620.500.000000              6              5                    P 24      453400 6 3 1 1 0 0   376.0  392.0
161 1646.895871 4.082E-44 3.306E+00.01500.05012217.36730.500.000000              1              0                    P 39      463400 6 3 1 1 0 0   616.0  632.0
161 1648.947086 6.081E-54 5.916E+00.01500.05016851.71290.500.000000              7              6                    P 20      353400 6 3 1 1 0 0   312.0  328.0
161 1655.973263 6.434E-50 1.002E+01.01500.05015115.04990.500.000000              5              4                    P 27      453400 6 3 1 1 0 0   424.0  440.0
161 1656.419625 4.374E-45 6.118E+00.01500.05012784.44270.500.000000              2              1                    P 36      453400 6 3 1 1 0 0   568.0  584.0
161 1661.366034 2.028E-46 8.316E+00.01500.05013460.01290.500.000000              3              2                    P 33      453400 6 3 1 1 0 0   520.0  536.0
161 1661.366938 4.880E-48 9.716E+00.01500.05014238.86700.500.000000              4              3                    P 30      453400 6 3 1 1 0 0   472.0  488.0
161 1667.892327 2.173E-51 9.076E+00.01500.05015755.04200.500.000000              6              5                    P 23      453400 6 3 1 1 0 0   360.0  376.0
161 1670.598625 2.153E-53 6.177E+00.01500.05016584.34520.500.000000              7              6                    P 19      353400 6 3 1 1 0 0   296.0  312.0
161 1675.095380 6.403E-43 3.390E+00.01500.05011643.82660.500.000000              1              0                    P 38      463400 6 3 1 1 0 0   600.0  616.0
161 1680.317362 3.815E-49 1.028E+01.01500.05014740.17420.500.000000              5              4                    P 26      453400 6 3 1 1 0 0   408.0  424.0
161 1683.748825 5.364E-44 6.267E+00.01500.05012261.09200.500.000000              2              1                    P 35      453400 6 3 1 1 0 0   552.0  568.0
161 1686.769712 3.674E-47 9.945E+00.01500.05013815.03820.500.000000              4              3                    P 29      453400 6 3 1 1 0 0   456.0  472.0
161 1687.762904 1.946E-45 8.511E+00.01500.05012986.62850.500.000000              3              2                    P 32      453400 6 3 1 1 0 0   504.0  520.0
161 1690.791904 9.591E-51 9.337E+00.01500.05015440.50640.500.000000              6              5                    P 22      453400 6 3 1 1 0 0   344.0  360.0
161 1691.901246 7.122E-53 6.416E+00.01500.05116329.35470.500.000000              7              6                    P 18      353400 6 3 1 1 0 0   280.0  296.0
161 1703.126683 9.509E-42 3.473E+00.01500.05011081.31600.500.000000              1              0                    P 37      463400 6 3 1 1 0 0   584.0  600.0
161 1704.378631 2.126E-48 1.052E+01.01500.05014377.38750.500.000000              5              4                    P 25      453400 6 3 1 1 0 0   392.0  408.0
161 1710.882093 6.215E-43 6.411E+00.01500.05011749.13080.500.000000              2              1                    P 34      453400 6 3 1 1 0 0   536.0  552.0
161 1711.919377 2.604E-46 1.016E+01.01500.05013403.13060.500.000000              4              3                    P 28      453400 6 3 1 1 0 0   440.0  456.0
161 1712.849553 2.201E-52 6.631E+00.01500.05216086.89310.500.000000              7              6                    P 17      353400 6 3 1 1 0 0   264.0  280.0
161 1713.373417 3.968E-50 9.577E+00.01500.05015138.33940.500.000000              6              5                    P 21      453400 6 3 1 1 0 0   328.0  344.0
161 1713.935671 1.762E-44 8.699E+00.01500.05012524.93140.500.000000              3              2                    P 31      453400 6 3 1 1 0 0   488.0  504.0
161 1728.152096 1.113E-47 1.074E+01.01500.05014026.88990.500.000000              5              4                    P 24      453400 6 3 1 1 0 0   376.0  392.0
161 1730.984729 1.335E-40 3.553E+00.01500.05010530.10730.500.000000              1              0                    P 36      463400 6 3 1 1 0 0   568.0  584.0
161 1733.437891 6.346E-52 6.824E+00.01600.05315857.10420.500.000000              7              6                    P 16      353400 6 3 1 1 0 0   248.0  264.0
161 1735.631565 1.538E-49 9.797E+00.01500.05014848.71360.500.000000              6              5                    P 20      453400 6 3 1 1 0 0   312.0  328.0
161 1736.810946 1.737E-45 1.037E+01.01500.05013003.36320.500.000000              4              3                    P 27      453400 6 3 1 1 0 0   424.0  440.0
161 1737.814352 6.796E-42 6.550E+00.01500.05011248.81420.500.000000              2              1                    P 33      453400 6 3 1 1 0 0   520.0  536.0
161 1739.879272 1.502E-43 8.878E+00.01500.05012075.15890.500.000000              3              2                    P 30      453400 6 3 1 1 0 0   472.0  488.0
161 1751.632476 5.469E-47 1.095E+01.01500.05013688.87390.500.000000              5              4                    P 23      453400 6 3 1 1 0 0   360.0  376.0
161 1753.660358 1.707E-51 6.993E+00.01700.05515640.12420.500.000000              7              6                    P 15      353400 6 3 1 1 0 0   232.0  248.0
161 1757.560777 5.578E-49 9.997E+00.01500.05014571.79390.500.000000              6              5                    P 19      453400 6 3 1 1 0 0   296.0  312.0
161 1758.664148 1.770E-39 3.630E+00.01500.050 9990.46670.500.000000              1              0                    P 35      463400 6 3 1 1 0 0   552.0  568.0
161 1761.439079 1.088E-44 1.056E+01.01500.05012615.94850.500.000000              4              3                    P 26      453400 6 3 1 1 0 0   408.0  424.0
161 1764.540209 7.003E-41 6.684E+00.01500.05010760.39120.500.000000              2              1                    P 32      453400 6 3 1 1 0 0   504.0  520.0
161 1765.588330 1.206E-42 9.049E+00.01500.05011637.54220.500.000000              3              2                    P 29      453400 6 3 1 1 0 0   456.0  472.0
161 1773.510825 4.277E-51 7.139E+00.01800.05715436.08110.500.000000              7              6                    P 14      353400 6 3 1 1 0 0   216.0  232.0
161 1774.814206 2.519E-46 1.114E+01.01500.05013363.52520.500.000000              5              4                    P 22      453400 6 3 1 1 0 0   344.0  360.0
161 1779.155229 1.892E-48 1.018E+01.01500.05114307.73790.500.000000              6              5                    P 18      453400 6 3 1 1 0 0   280.0  296.0
161 1785.798162 6.398E-44 1.074E+01.01500.05012241.09170.500.000000              4              3                    P 25      453400 6 3 1 1 0 0   392.0  408.0
161 1786.159272 2.211E-38 3.705E+00.01500.050 9462.65490.500.000000              1              0                    P 34      463400 6 3 1 1 0 0   536.0  552.0
161 1791.053982 6.793E-40 6.813E+00.01500.05010284.10490.500.000000              2              1                    P 31      453400 6 3 1 1 0 0   488.0  504.0
161 1791.057177 9.092E-42 9.212E+00.01500.05011212.30610.500.000000              3              2                    P 28      453400 6 3 1 1 0 0   440.0  456.0
161 1792.982955 9.974E-51 7.263E+00.02000.05915245.09540.500.000000              7              6                    P 13      353400 6 3 1 1 0 0   200.0  216.0
161 1797.691458 1.086E-45 1.132E+01.01500.05013051.02220.500.000000              5              4                    P 21      453400 6 3 1 1 0 0   328.0  344.0
161 1800.408863 5.995E-48 1.034E+01.01500.05214056.69540.500.000000              6              5                    P 17      453400 6 3 1 1 0 0   264.0  280.0
161 1809.882314 3.528E-43 1.091E+01.01500.05011878.99160.500.000000              4              3                    P 24      453400 6 3 1 1 0 0   376.0  392.0
161 1812.070215 2.162E-50 7.366E+00.02200.06315067.27950.500.000000              7              6                    P 12      363400 6 3 1 1 0 0   184.0  200.0
161 1813.464155 2.603E-37 3.777E+00.01500.050 8946.92700.500.000000              1              0                    P 33      463400 6 3 1 1 0 0   520.0  536.0
161 1816.279873 6.437E-41 9.366E+00.01500.05010799.66860.500.000000              3              2                    P 27      453400 6 3 1 1 0 0   424.0  440.0
161 1817.349707 6.194E-39 6.936E+00.01500.050 9820.19250.500.000000              2              1                    P 30      453400 6 3 1 1 0 0   472.0  488.0
161 1820.258163 4.382E-45 1.148E+01.01500.05012751.53580.500.000000              5              4                    P 20      453400 6 3 1 1 0 0   312.0  328.0
161 1821.315405 1.773E-47 1.048E+01.01600.05313818.80880.500.000000              6              5                    P 16      453400 6 3 1 1 0 0   248.0  264.0
161 1830.765891 4.352E-50 7.449E+00.02600.06714902.73800.500.000000              7              6                    P 11      363400 6 3 1 1 0 0   168.0  184.0
161 1833.685404 1.822E-42 1.107E+01.01500.05011529.83980.500.000000              4              3                    P 23      453400 6 3 1 1 0 0   360.0  376.0
161 1840.572586 2.881E-36 3.846E+00.01500.050 8443.53230.500.000000              1              0                    P 32      463400 6 3 1 1 0 0   504.0  520.0
161 1841.250234 4.274E-40 9.511E+00.01500.05010399.84150.500.000000              3              2                    P 26      453400 6 3 1 1 0 0   408.0  424.0
161 1841.868385 4.887E-47 1.060E+01.01700.05513594.21270.500.000000              6              5                    P 15      453400 6 3 1 1 0 0   232.0  248.0
161 1842.508030 1.653E-44 1.163E+01.01500.05012465.22990.500.000000              5              4                    P 19      453400 6 3 1 1 0 0   296.0  312.0
161 1843.421198 5.305E-38 7.053E+00.01500.050 9368.88490.500.000000              2              1                    P 29      453400 6 3 1 1 0 0   456.0  472.0
161 1849.063102 8.118E-50 7.513E+00.03200.07314751.56760.500.000000              7              6                    P 10      363400 6 3 1 1 0 0   152.0  168.0
161 1857.201079 8.807E-42 1.122E+01.01500.05011193.82110.500.000000              4              3                    P 22      453400 6 3 1 1 0 0   344.0  360.0
