441 2030.202679 1.338E-26 4.912E-01.10000.100 2771.62570.750.000000  0010001 0 0 1  0000001 0 0 1                    P129f     332220 3 3 1 1 1 0  1542.0 1554.0
441 2030.287432 1.361E-26 4.912E-01.10000.100 2768.11190.750.000000  0010001 0 0 1  0000001 0 0 1                    P129e     332220 3 3 1 1 1 0  1542.0 1554.0
441 2030.621097 1.606E-26 4.915E-01.10000.100 2732.48840.750.000000  0010001 0 0 1  0000001 0 0 1                    P128f     332220 3 3 1 1 1 0  1530.0 1542.0
441 2030.705183 1.634E-26 4.915E-01.10000.100 2729.02660.750.000000  0010001 0 0 1  0000001 0 0 1                    P128e     332220 3 3 1 1 1 0  1530.0 1542.0
441 2031.038664 1.925E-26 4.918E-01.10000.100 2693.65190.750.000000  0010001 0 0 1  0000001 0 0 1                    P127f     332220 3 3 1 1 1 0  1518.0 1530.0
441 2031.122079 1.957E-26 4.918E-01.10000.100 2690.24180.750.000000  0010001 0 0 1  0000001 0 0 1                    P127e     332220 3 3 1 1 1 0  1518.0 1530.0
441 2031.455379 2.303E-26 4.921E-01.10000.100 2655.11640.750.000000  0010001 0 0 1  0000001 0 0 1                    P126f     332220 3 3 1 1 1 0  1506.0 1518.0
441 2031.538119 2.341E-26 4.922E-01.10000.100 2651.75760.750.000000  0010001 0 0 1  0000001 0 0 1                    P126e     332220 3 3 1 1 1 0  1506.0 1518.0
441 2031.871242 2.752E-26 4.924E-01.10000.100 2616.88190.750.000000  0010001 0 0 1  0000001 0 0 1                    P125f     332220 3 3 1 1 1 0  1494.0 1506.0
441 2031.953303 2.798E-26 4.925E-01.10000.100 2613.57410.750.000000  0010001 0 0 1  0000001 0 0 1                    P125e     332220 3 3 1 1 1 0  1494.0 1506.0
441 2032.242337 3.445E-26 4.926E-01.10000.100 2578.87900.750.000000  0010000 0 0 0  0000000 0 0 0                    P130e     332220 3 3 1 1 1 0  1554.0 1566.0
441 2032.286252 3.284E-26 4.927E-01.10000.100 2578.94850.750.000000  0010001 0 0 1  0000001 0 0 1                    P124f     332220 3 3 1 1 1 0  1482.0 1494.0
