321 1723.862620 1.355E-22 4.930E+01.10100.320 1564.76230.750.000000             V3         GROUND 61  6 55       62  6 56      340000 5 5 2 2 1 0   492.0  500.0
321 1724.500340 1.394E-22 4.644E+01.10100.320 1546.42710.750.000000             V3         GROUND 61  5 56       62  5 57      340000 5 5 2 2 1 0   492.0  500.0
321 1724.840490 1.687E-22 4.952E+01.10100.320 1516.95860.750.000000             V3         GROUND 60  6 54       61  6 55      340000 5 5 2 2 1 0   484.0  492.0
321 1725.122100 1.479E-22 4.701E+01.10100.320 1533.31170.750.000000             V3         GROUND 60  7 54       61  7 55      340000 5 5 2 2 1 0   484.0  492.0
321 1725.347400 1.648E-22 4.565E+01.10100.320 1504.91240.750.000000             V3         GROUND 60  6 55       61  6 56      340000 5 5 2 2 1 0   484.0  492.0
321 1725.386160 1.759E-22 4.739E+01.10100.320 1499.20220.750.000000             V3         GROUND 60  5 55       61  5 56      340000 5 5 2 2 1 0   484.0  492.0
321 1725.402980 1.446E-22 4.268E+01.10100.320 1521.32780.750.000000             V3         GROUND 61  4 57       62  4 58      340000 5 5 2 2 1 0   492.0  500.0
321 1725.503500 1.609E-22 5.020E+01.10100.320 1536.02030.750.000000             V3         GROUND 62  4 59       63  4 60      340000 5 5 2 2 1 0   500.0  508.0
321 1725.503840 1.472E-22 4.363E+01.10100.320 1522.14950.750.000000             V3         GROUND 61  5 57       62  5 58      340000 5 5 2 2 1 0   492.0  500.0
321 1725.505150 1.609E-22 5.018E+01.10100.320 1535.95930.750.000000             V3         GROUND 62  3 59       63  3 60      340000 5 5 2 2 1 0   500.0  508.0
321 1725.515130 1.544E-22 5.039E+01.10100.320 1554.97930.750.000000             V3         GROUND 65  0 65       66  0 66      340000 5 5 2 2 1 0   524.0  532.0
321 1725.515130 1.544E-22 5.039E+01.10100.320 1554.97930.750.000000             V3         GROUND 65  1 65       66  1 66      340000 5 5 2 2 1 0   524.0  532.0
321 1725.522200 1.544E-22 5.047E+01.10100.320 1552.12660.750.000000             V3         GROUND 64  1 63       65  1 64      340000 5 5 2 2 1 0   516.0  524.0
321 1725.522210 1.544E-22 5.047E+01.10100.320 1552.12670.750.000000             V3         GROUND 64  2 63       65  2 64      340000 5 5 2 2 1 0   516.0  524.0
321 1725.819100 2.078E-22 4.940E+01.10100.320 1469.91540.750.000000             V3         GROUND 59  6 53       60  6 54      340000 5 5 2 2 1 0   476.0  484.0
321 1726.076620 1.492E-22 4.489E+01.10100.320 1518.37180.750.000000             V3         GROUND 59  8 52       60  8 53      340000 5 5 2 2 1 0   476.0  484.0
321 1726.078920 1.837E-22 4.752E+01.10100.320 1487.24100.750.000000             V3         GROUND 59  7 53       60  7 54      340000 5 5 2 2 1 0   476.0  484.0
321 1726.224030 1.505E-22 4.539E+01.10100.320 1518.78780.750.000000             V3         GROUND 59  8 51       60  8 52      340000 5 5 2 2 1 0   476.0  484.0
321 1726.266680 2.176E-22 4.758E+01.10100.320 1452.64440.750.000000             V3         GROUND 59  5 54       60  5 55      340000 5 5 2 2 1 0   476.0  484.0
321 1726.354250 2.104E-22 4.748E+01.10100.320 1459.06210.750.000000             V3         GROUND 59  6 54       60  6 55      340000 5 5 2 2 1 0   476.0  484.0
321 1726.356900 1.980E-22 5.023E+01.10100.320 1489.93350.750.000000             V3         GROUND 61  3 58       62  3 59      340000 5 5 2 2 1 0   492.0  500.0
321 1726.356950 1.980E-22 5.025E+01.10100.320 1490.00920.750.000000             V3         GROUND 61  4 58       62  4 59      340000 5 5 2 2 1 0   492.0  500.0
321 1726.364080 1.915E-22 5.018E+01.10100.320 1499.92190.750.000000             V3         GROUND 62  3 60       63  3 61      340000 5 5 2 2 1 0   500.0  508.0
321 1726.365140 1.902E-22 5.047E+01.10100.320 1509.00540.750.000000             V3         GROUND 64  0 64       65  0 65      340000 5 5 2 2 1 0   516.0  524.0
321 1726.365140 1.902E-22 5.047E+01.10100.320 1509.00540.750.000000             V3         GROUND 64  1 64       65  1 65      340000 5 5 2 2 1 0   516.0  524.0
321 1726.365700 1.909E-22 5.001E+01.10100.320 1499.91850.750.000000             V3         GROUND 62  2 60       63  2 61      340000 5 5 2 2 1 0   500.0  508.0
321 1726.374000 1.902E-22 5.056E+01.10100.320 1506.14730.750.000000             V3         GROUND 63  1 62       64  1 63      340000 5 5 2 2 1 0   508.0  516.0
321 1726.374020 1.902E-22 5.056E+01.10100.320 1506.14730.750.000000             V3         GROUND 63  2 62       64  2 63      340000 5 5 2 2 1 0   508.0  516.0
321 1726.469540 1.726E-22 4.163E+01.10100.320 1476.13340.750.000000             V3         GROUND 60  5 56       61  5 57      340000 5 5 2 2 1 0   484.0  492.0
321 1726.554440 1.883E-22 4.023E+01.10100.320 1444.33650.750.000000             V3         GROUND 58  7 51       59  7 52      340000 5 5 2 2 1 0   468.0  476.0
321 1726.760180 1.322E-22 2.611E+01.10100.320 1420.85040.750.000000             V3         GROUND 56  8 48       57  9 49      340000 5 5 2 2 1 0   452.0  460.0
321 1726.803440 2.547E-22 4.924E+01.10100.320 1423.64250.750.000000             V3         GROUND 58  6 52       59  6 53      340000 5 5 2 2 1 0   468.0  476.0
321 1727.026700 2.260E-22 4.777E+01.10100.320 1441.91710.750.000000             V3         GROUND 58  7 52       59  7 53      340000 5 5 2 2 1 0   468.0  476.0
321 1727.041490 1.824E-22 4.485E+01.10100.320 1473.09090.750.000000             V3         GROUND 58  8 51       59  8 52      340000 5 5 2 2 1 0   468.0  476.0
321 1727.151850 2.651E-22 4.723E+01.10100.320 1406.76080.750.000000             V3         GROUND 58  5 53       59  5 54      340000 5 5 2 2 1 0   468.0  476.0
321 1727.178480 1.843E-22 4.541E+01.10100.320 1473.41860.750.000000             V3         GROUND 58  8 50       59  8 51      340000 5 5 2 2 1 0   468.0  476.0
321 1727.204750 2.430E-22 5.031E+01.10100.320 1444.58810.750.000000             V3         GROUND 60  3 57       61  3 58      340000 5 5 2 2 1 0   484.0  492.0
321 1727.206480 2.423E-22 5.020E+01.10100.320 1444.68190.750.000000             V3         GROUND 60  4 57       61  4 58      340000 5 5 2 2 1 0   484.0  492.0
321 1727.211260 2.332E-22 5.049E+01.10100.320 1463.71580.750.000000             V3         GROUND 63  0 63       64  0 64      340000 5 5 2 2 1 0   508.0  516.0
321 1727.211260 2.332E-22 5.049E+01.10100.320 1463.71580.750.000000             V3         GROUND 63  1 63       64  1 64      340000 5 5 2 2 1 0   508.0  516.0
321 1727.212680 2.365E-22 5.057E+01.10100.320 1454.61590.750.000000             V3         GROUND 61  3 59       62  3 60      340000 5 5 2 2 1 0   492.0  500.0
321 1727.213630 2.365E-22 5.057E+01.10100.320 1454.61160.750.000000             V3         GROUND 61  2 59       62  2 60      340000 5 5 2 2 1 0   492.0  500.0
321 1727.221990 2.332E-22 5.059E+01.10100.320 1460.85210.750.000000             V3         GROUND 62  1 61       63  1 62      340000 5 5 2 2 1 0   500.0  508.0
321 1727.222020 2.332E-22 5.059E+01.10100.320 1460.85220.750.000000             V3         GROUND 62  2 61       63  2 62      340000 5 5 2 2 1 0   500.0  508.0
321 1727.272510 2.137E-22 4.207E+01.10100.320 1430.80820.750.000000             V3         GROUND 59  5 55       60  5 56      340000 5 5 2 2 1 0   476.0  484.0
321 1727.310460 2.625E-22 4.844E+01.10100.320 1413.92920.750.000000             V3         GROUND 58  6 53       59  6 54      340000 5 5 2 2 1 0   468.0  476.0
321 1727.464560 2.234E-22 4.376E+01.10100.320 1429.63430.750.000000             V3         GROUND 59  4 55       60  4 56      340000 5 5 2 2 1 0   476.0  484.0
321 1727.620920 2.527E-22 4.421E+01.10100.320 1399.34310.750.000000             V3         GROUND 57  7 50       58  7 51      340000 5 5 2 2 1 0   460.0  468.0
321 1727.800870 3.075E-22 4.853E+01.10100.320 1378.14900.750.000000             V3         GROUND 57  6 51       58  6 52      340000 5 5 2 2 1 0   460.0  468.0
321 1727.803200 1.687E-22 2.756E+01.10100.320 1377.94680.750.000000             V3         GROUND 55  9 47       56  9 48      340000 5 5 2 2 1 0   444.0  452.0
321 1727.924420 1.381E-22 1.831E+01.10100.320 1342.23770.750.000000          V5+V7         GROUND 57  2 55       58  5 54      340000 5 5 2 2 1 0   460.0  468.0
321 1727.967240 2.775E-22 4.809E+01.10100.320 1397.34240.750.000000             V3         GROUND 57  7 51       58  7 52      340000 5 5 2 2 1 0   460.0  468.0
321 1727.998790 2.215E-22 4.468E+01.10100.320 1428.57040.750.000000             V3         GROUND 57  8 50       58  8 51      340000 5 5 2 2 1 0   460.0  468.0
321 1728.048680 2.977E-22 5.049E+01.10100.320 1399.92280.750.000000             V3         GROUND 59  3 56       60  3 57      340000 5 5 2 2 1 0   476.0  484.0
