141 1505.124066 2.942E-89 7.855E+01.00820.05234605.99500.50-.023000              4              3                    P 38      462623 5 3 2 1 2 2   300.0  308.0
141 1506.611918 8.420E-95 8.864E+01.00820.05237207.00630.50-.023000              8              7                    P 30      252623 5 3 2 1 2 2   236.0  244.0
141 1513.867507 2.041E-90 8.163E+01.00820.05235149.14220.50-.023000              5              4                    P 36      462623 5 3 2 1 2 2   284.0  292.0
141 1515.197607 3.816E-93 9.841E+01.00820.05236455.08620.50-.023000              7              6                    P 32      262623 5 3 2 1 2 2   252.0  260.0
141 1517.403568 1.183E-91 1.016E+02.00820.05235767.19680.50-.023000              6              5                    P 34      362623 5 3 2 1 2 2   268.0  276.0
141 1517.481437 2.818E-97 5.995E+01.00820.05238258.00040.50-.023000             10              9                    P 25      252623 5 3 2 1 2 2   196.0  204.0
141 1531.514613 2.139E-98 4.246E+01.00820.05238686.83350.50-.023000             11             10                    P 22      252623 5 3 2 1 2 2   172.0  180.0
141 1532.052757 3.504E-85 5.492E+01.00820.05232610.12660.50-.023000              2              1                    P 41      462623 5 3 2 1 2 2   324.0  332.0
141 1542.524725 3.563E-95 8.068E+01.00820.05237332.87470.50-.023000              9              8                    P 27      252623 5 3 2 1 2 2   212.0  220.0
141 1549.181054 5.044E-86 7.456E+01.00820.05233056.81400.50-.023000              3              2                    P 39      462623 5 3 2 1 2 2   308.0  316.0
141 1559.409735 3.195E-93 9.730E+01.00820.05236456.90640.50-.023000              8              7                    P 29      252623 5 3 2 1 2 2   228.0  236.0
141 1561.870832 4.164E-87 8.696E+01.00820.05233587.27130.50-.023000              4              3                    P 37      462623 5 3 2 1 2 2   292.0  300.0
141 1567.294686 5.187E-96 6.577E+01.00820.05237655.99710.50-.023000             10              9                    P 24      252623 5 3 2 1 2 2   188.0  196.0
141 1569.083045 2.003E-91 1.077E+02.00820.05235637.92320.50-.023000              7              6                    P 31      262623 5 3 2 1 2 2   244.0  252.0
141 1569.731915 2.098E-88 9.091E+01.00820.05234197.46490.50-.023000              5              4                    P 35      462623 5 3 2 1 2 2   276.0  284.0
141 1572.312775 8.608E-90 1.111E+02.00820.05234882.77340.50-.023000              6              5                    P 33      362623 5 3 2 1 2 2   260.0  268.0
141 1576.013922 4.477E-99 2.594E+01.00820.05238853.09390.50-.023000             12             11                    P 18      252623 5 3 2 1 2 2   140.0  148.0
