171 1500.587079 1.345E-47 1.758E-03.01900.01112355.90450.50-.002800              5              4                    P 26      352623 4 3 2 1 0 1   612.0  636.0
171 1511.240573 2.588E-43 2.859E-02.01900.01110947.08780.50-.002800              3              2                    P 33      452623 4 3 2 1 0 1   780.0  804.0
171 1512.399811 1.977E-47 3.733E-02.01900.01812857.04950.50-.002800              6              5                    P 21      422623 4 3 2 1 0 1   492.0  516.0
171 1512.458027 1.708E-48 1.559E-01.01900.03413597.46780.50-.002800              7              6                    P 16      222623 4 3 2 1 0 1   372.0  396.0
171 1518.928890 1.561E-41 4.239E-02.01900.01110200.84780.50-.002800              2              1                    P 36      452623 4 3 2 1 0 1   852.0  876.0
171 1519.013558 4.849E-45 6.542E-03.01900.01111432.78510.50-.002800              4              3                    P 29      452623 4 3 2 1 0 1   684.0  708.0
171 1519.677450 7.790E-47 2.742E-03.01900.01112072.46440.50-.002800              5              4                    P 25      352623 4 3 2 1 0 1   588.0  612.0
171 1522.295617 3.668E-40 3.570E-02.01900.011 9531.73600.50-.002800              1              0                    P 39      462623 4 3 2 1 0 1   924.0  948.0
171 1528.424697 3.906E-48 1.719E-01.02050.03913429.30550.50-.002800              7              6                    P 15      224623 4 3 2 1 0 1   348.0  372.0
171 1530.014525 6.402E-47 4.349E-02.01900.02012631.72730.50-.002800              6              5                    P 20      422623 4 3 2 1 0 1   468.0  492.0
171 1532.196712 1.375E-42 2.638E-02.01900.01110574.84410.50-.002800              3              2                    P 32      452623 4 3 2 1 0 1   756.0  780.0
171 1538.502000 4.061E-46 4.039E-03.01900.01311798.86910.50-.002800              5              4                    P 24      352623 4 3 2 1 0 1   564.0  588.0
171 1538.948318 1.736E-44 5.192E-03.01900.01111110.11220.50-.002800              4              3                    P 28      452623 4 3 2 1 0 1   660.0  684.0
171 1540.625304 1.041E-40 4.027E-02.01900.011 9788.16030.50-.002800              2              1                    P 35      452623 4 3 2 1 0 1   828.0  852.0
171 1544.067610 8.461E-48 1.893E-01.02190.04413271.25090.50-.002800              7              6                    P 14      224623 4 3 2 1 0 1   324.0  348.0
171 1544.696001 3.029E-39 3.436E-02.01900.011 9078.16610.50-.002800              1              0                    P 38      462623 4 3 2 1 0 1   900.0  924.0
171 1547.335856 1.962E-46 5.045E-02.01900.02412416.44130.50-.002800              6              5                    P 19      422623 4 3 2 1 0 1   444.0  468.0
171 1552.932073 6.889E-42 2.406E-02.01900.01110212.21090.50-.002800              3              2                    P 31      452623 4 3 2 1 0 1   732.0  756.0
171 1557.058862 1.930E-45 5.702E-03.01900.01411535.24250.50-.002800              5              4                    P 23      352623 4 3 2 1 0 1   540.0  564.0
171 1558.639489 5.621E-44 3.910E-03.01900.01110797.26500.50-.002800              4              3                    P 27      452623 4 3 2 1 0 1   636.0  660.0
171 1559.384004 1.734E-47 2.083E-01.02370.04813123.38210.50-.002800              7              6                    P 13      224623 4 3 2 1 0 1   300.0  324.0
171 1562.121094 6.583E-40 3.798E-02.01900.011 9384.96670.50-.002800              2              1                    P 34      452623 4 3 2 1 0 1   804.0  828.0
171 1564.361523 5.684E-46 5.827E-02.01900.02612211.29300.50-.002800              6              5                    P 18      422623 4 3 2 1 0 1   420.0  444.0
171 1566.915293 2.378E-38 3.291E-02.01900.011 8633.93250.50-.002800              1              0                    P 37      462623 4 3 2 1 0 1   876.0  900.0
171 1573.444756 3.248E-41 2.166E-02.01900.011 9859.34030.50-.002800              3              2                    P 30      452623 4 3 2 1 0 1   708.0  732.0
171 1574.370889 3.359E-47 2.290E-01.02590.05412985.77170.50-.002800              7              6                    P 12      224623 4 3 2 1 0 1   276.0  300.0
171 1575.345903 8.433E-45 7.782E-03.01900.01611281.70360.50-.002800              5              4                    P 22      352623 4 3 2 1 0 1   516.0  540.0
171 1578.085058 1.610E-43 2.737E-03.01900.01110494.37940.50-.002800              4              3                    P 26      452623 4 3 2 1 0 1   612.0  636.0
171 1581.089007 1.556E-45 6.702E-02.01900.03112016.37880.50-.002800              6              5                    P 17      422623 4 3 2 1 0 1   396.0  420.0
171 1583.414224 3.943E-39 3.557E-02.01900.011 8991.42980.50-.002800              2              1                    P 33      452623 4 3 2 1 0 1   780.0  804.0
171 1588.951325 1.773E-37 3.135E-02.01900.011 8199.20900.50-.002800              1              0                    P 36      462623 4 3 2 1 0 1   852.0  876.0
171 1589.025060 6.138E-47 2.514E-01.02850.05912858.48740.50-.002800              7              6                    P 11      224623 4 3 2 1 0 1   252.0  276.0
171 1593.360754 3.407E-44 1.033E-02.01900.01811038.36660.50-.002800              5              4                    P 21      352623 4 3 2 1 0 1   492.0  516.0
