191 1664.819069 1.081E-23 2.796E-01.08090.107 1472.41540.300.000000        2 1 1 0        0 1 1 0                    P 68e     445500 4 2 4 3 1 0   135.0  137.0
191 1664.928872 1.077E-23 2.799E-01.08090.107 1473.40790.300.000000        2 1 1 0        0 1 1 0                    P 68f     445500 4 2 4 3 1 0   135.0  137.0
191 1665.377862 1.218E-23 2.798E-01.08100.108 1444.84870.300.000000        2 1 1 0        0 1 1 0                    P 67e     445500 4 2 4 3 1 0   133.0  135.0
191 1665.484267 1.214E-23 2.802E-01.08100.108 1445.81250.300.000000        2 1 1 0        0 1 1 0                    P 67f     445500 4 2 4 3 1 0   133.0  135.0
191 1665.934330 1.371E-23 2.804E-01.08120.109 1417.68580.300.000000        2 1 1 0        0 1 1 0                    P 66e     445500 4 2 4 3 1 0   131.0  133.0
191 1666.037379 1.367E-23 2.809E-01.08120.109 1418.62140.300.000000        2 1 1 0        0 1 1 0                    P 66f     445500 4 2 4 3 1 0   131.0  133.0
191 1666.126544 1.016E-23 8.438E-01.08150.111 1699.56730.300.000000        3 0 0 0        1 0 0 0                    P 64      445500 4 2 4 3 1 0   127.0  129.0
191 1666.488474 1.541E-23 2.812E-01.08140.110 1390.92670.300.000000        2 1 1 0        0 1 1 0                    P 65e     445500 4 2 4 3 1 0   129.0  131.0
191 1666.588211 1.533E-23 2.810E-01.08140.110 1391.83450.300.000000        2 1 1 0        0 1 1 0                    P 65f     445500 4 2 4 3 1 0   129.0  131.0
191 1666.687893 1.133E-23 8.438E-01.08170.113 1673.72560.300.000000        3 0 0 0        1 0 0 0                    P 63      445500 4 2 4 3 1 0   125.0  127.0
191 1666.917610 1.061E-23 2.853E-01.08690.154 1364.38270.570.000000        2 2 0 0        0 2 0 0                    P 39      445500 4 2 4 3 1 0    77.0   79.0
191 1667.040298 1.722E-23 2.810E-01.08150.111 1364.57160.300.000000        2 1 1 0        0 1 1 0                    P 64e     445500 4 2 4 3 1 0   127.0  129.0
191 1667.136766 1.714E-23 2.809E-01.08150.111 1365.45190.300.000000        2 1 1 0        0 1 1 0                    P 64f     445500 4 2 4 3 1 0   127.0  129.0
191 1667.166795 1.105E-23 2.787E-01.07850.096 1515.34280.300.000000        2 0 0 0        0 0 0 0                    P 86      545500 4 2 4 3 1 0   171.0  173.0
191 1667.246725 1.262E-23 8.446E-01.08180.114 1648.28620.300.000000        3 0 0 0        1 0 0 0                    P 62      445500 4 2 4 3 1 0   123.0  125.0
191 1667.366177 1.028E-23 2.838E-01.08660.152 1374.98970.560.000000        2 2 2 0        0 2 2 0                    P 40e     445500 4 2 4 3 1 0    79.0   81.0
191 1667.374186 1.028E-23 2.838E-01.08660.152 1375.01040.560.000000        2 2 2 0        0 2 2 0                    P 40f     445500 4 2 4 3 1 0    79.0   81.0
191 1667.404625 1.117E-23 2.856E-01.08720.156 1348.51990.580.000000        2 2 0 0        0 2 0 0                    P 38      445500 4 2 4 3 1 0    75.0   77.0
191 1667.589804 1.924E-23 2.814E-01.08170.113 1338.62060.300.000000        2 1 1 0        0 1 1 0                    P 63e     445500 4 2 4 3 1 0   125.0  127.0
191 1667.683047 1.916E-23 2.814E-01.08170.113 1339.47380.300.000000        2 1 1 0        0 1 1 0                    P 63f     445500 4 2 4 3 1 0   125.0  127.0
191 1667.780866 1.295E-23 2.793E-01.07860.097 1480.56200.300.000000        2 0 0 0        0 0 0 0                    P 85      545500 4 2 4 3 1 0   169.0  171.0
191 1667.803040 1.404E-23 8.463E-01.08200.115 1623.24920.300.000000        3 0 0 0        1 0 0 0                    P 61      445500 4 2 4 3 1 0   121.0  123.0
191 1667.854940 1.085E-23 2.841E-01.08690.154 1358.71840.570.000000        2 2 2 0        0 2 2 0                    P 39e     445500 4 2 4 3 1 0    77.0   79.0
191 1667.862109 1.085E-23 2.841E-01.08690.154 1358.73710.570.000000        2 2 2 0        0 2 2 0                    P 39f     445500 4 2 4 3 1 0    77.0   79.0
191 1667.889566 1.170E-23 2.853E-01.08750.158 1333.06340.600.000000        2 2 0 0        0 2 0 0                    P 37      445500 4 2 4 3 1 0    73.0   75.0
191 1668.136993 2.146E-23 2.819E-01.08180.114 1313.07350.300.000000        2 1 1 0        0 1 1 0                    P 62e     445500 4 2 4 3 1 0   123.0  125.0
191 1668.227057 2.138E-23 2.820E-01.08180.114 1313.90020.300.000000        2 1 1 0        0 1 1 0                    P 62f     445500 4 2 4 3 1 0   123.0  125.0
191 1668.341545 1.141E-23 2.841E-01.08720.156 1342.85320.580.000000        2 2 2 0        0 2 2 0                    P 38e     445500 4 2 4 3 1 0    75.0   77.0
191 1668.347943 1.141E-23 2.842E-01.08720.156 1342.87000.580.000000        2 2 2 0        0 2 2 0                    P 38f     445500 4 2 4 3 1 0    75.0   77.0
191 1668.356842 1.557E-23 8.471E-01.08220.116 1598.61470.300.000000        3 0 0 0        1 0 0 0                    P 60      445500 4 2 4 3 1 0   119.0  121.0
191 1668.372431 1.226E-23 2.858E-01.08780.160 1318.01320.610.000000        2 2 0 0        0 2 0 0                    P 36      445500 4 2 4 3 1 0    71.0   73.0
191 1668.392429 1.512E-23 2.794E-01.07870.097 1446.18300.300.000000        2 0 0 0        0 0 0 0                    P 84      545500 4 2 4 3 1 0   167.0  169.0
191 1668.681870 2.388E-23 2.823E-01.08200.115 1287.93070.300.000000        2 1 1 0        0 1 1 0                    P 61e     445500 4 2 4 3 1 0   121.0  123.0
191 1668.768800 2.376E-23 2.821E-01.08200.115 1288.73120.300.000000        2 1 1 0        0 1 1 0                    P 61f     445500 4 2 4 3 1 0   121.0  123.0
191 1668.826000 1.202E-23 2.854E-01.08750.158 1327.39420.600.000000        2 2 2 0        0 2 2 0                    P 37e     445500 4 2 4 3 1 0    73.0   75.0
191 1668.831690 1.202E-23 2.855E-01.08750.158 1327.40930.600.000000        2 2 2 0        0 2 2 0                    P 37f     445500 4 2 4 3 1 0    73.0   75.0
191 1668.853218 1.279E-23 2.859E-01.08810.161 1303.36950.630.000000        2 2 0 0        0 2 0 0                    P 35      445500 4 2 4 3 1 0    69.0   71.0
191 1668.908130 1.722E-23 8.476E-01.08240.117 1574.38280.300.000000        3 0 0 0        1 0 0 0                    P 59      445500 4 2 4 3 1 0   117.0  119.0
191 1669.001488 1.763E-23 2.798E-01.07890.098 1412.20610.300.000000        2 0 0 0        0 0 0 0                    P 83      545500 4 2 4 3 1 0   165.0  167.0
191 1669.224435 2.646E-23 2.823E-01.08220.116 1263.19200.300.000000        2 1 1 0        0 1 1 0                    P 60e     445500 4 2 4 3 1 0   119.0  121.0
191 1669.308277 2.638E-23 2.825E-01.08220.116 1263.96670.300.000000        2 1 1 0        0 1 1 0                    P 60f     445500 4 2 4 3 1 0   119.0  121.0
191 1669.308308 1.258E-23 2.856E-01.08780.160 1312.34140.610.000000        2 2 2 0        0 2 2 0                    P 36e     445500 4 2 4 3 1 0    71.0   73.0
191 1669.313351 1.258E-23 2.857E-01.08780.160 1312.35500.610.000000        2 2 2 0        0 2 2 0                    P 36f     445500 4 2 4 3 1 0    71.0   73.0
191 1669.331925 1.335E-23 2.870E-01.08840.163 1289.13210.640.000000        2 2 0 0        0 2 0 0                    P 34      445500 4 2 4 3 1 0    67.0   69.0
191 1669.456908 1.900E-23 8.480E-01.08260.119 1550.55350.310.000000        3 0 0 0        1 0 0 0                    P 58      445500 4 2 4 3 1 0   115.0  117.0
191 1669.608045 2.049E-23 2.798E-01.07900.098 1378.63120.300.000000        2 0 0 0        0 0 0 0                    P 82      545500 4 2 4 3 1 0   163.0  165.0
191 1669.764691 2.932E-23 2.828E-01.08240.117 1238.85760.300.000000        2 1 1 0        0 1 1 0                    P 59e     445500 4 2 4 3 1 0   117.0  119.0
191 1669.788476 1.311E-23 2.854E-01.08810.161 1297.69490.630.000000        2 2 2 0        0 2 2 0                    P 35e     445500 4 2 4 3 1 0    69.0   71.0
191 1669.792928 1.311E-23 2.854E-01.08810.161 1297.70710.630.000000        2 2 2 0        0 2 2 0                    P 35f     445500 4 2 4 3 1 0    69.0   71.0
191 1669.808549 1.383E-23 2.867E-01.08870.164 1275.30110.660.000000        2 2 0 0        0 2 0 0                    P 33      445500 4 2 4 3 1 0    65.0   67.0
191 1669.845492 2.920E-23 2.827E-01.08240.117 1239.60700.300.000000        2 1 1 0        0 1 1 0                    P 59f     445500 4 2 4 3 1 0   117.0  119.0
191 1670.003177 2.093E-23 8.489E-01.08270.120 1527.12690.320.000000        3 0 0 0        1 0 0 0                    P 57      445500 4 2 4 3 1 0   113.0  115.0
191 1670.212102 2.380E-23 2.802E-01.07910.098 1345.45850.300.000000        2 0 0 0        0 0 0 0                    P 81      545500 4 2 4 3 1 0   161.0  163.0
191 1670.266507 1.367E-23 2.862E-01.08840.163 1283.45470.640.000000        2 2 2 0        0 2 2 0                    P 34e     445500 4 2 4 3 1 0    67.0   69.0
