# WARNING | PUMAS | Modeling multiple-scattering accurately for Rayleigh would require NMAX to be at least 1 and LMAX 2.
# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Feb 25 03:19:28 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O Rayleigh CIA
4.000000000e-01 9.04574e-04 9.99999e-01 9.99999e-01 9.99999e-01 9.99986e-01 9.04586e-04 9.99999e-01
4.020000000e-01 1.03902e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99991e-01 1.03903e-03 9.99999e-01
4.040100000e-01 1.19002e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99995e-01 1.19003e-03 9.99999e-01
4.060300500e-01 1.35932e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99998e-01 1.35932e-03 9.99999e-01
4.080602003e-01 1.54862e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.54862e-03 9.99999e-01
4.101005013e-01 1.75975e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.75975e-03 9.99999e-01
4.121510038e-01 1.99462e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.99462e-03 9.99999e-01
4.142117588e-01 2.25524e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99995e-01 2.25525e-03 9.99999e-01
4.162828176e-01 2.54372e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99982e-01 2.54376e-03 9.99999e-01
4.183642317e-01 2.86233e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99989e-01 2.86236e-03 9.99999e-01
4.204560528e-01 3.21335e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99993e-01 3.21337e-03 9.99999e-01
4.225583331e-01 3.59918e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99997e-01 3.59918e-03 9.99999e-01
4.246711247e-01 4.02230e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99997e-01 4.02230e-03 9.99999e-01
4.267944804e-01 4.48530e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99996e-01 4.48531e-03 9.99999e-01
4.289284528e-01 4.99085e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99997e-01 4.99086e-03 9.99999e-01
4.310730950e-01 5.54168e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99998e-01 5.54169e-03 9.99999e-01
4.332284605e-01 6.14060e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.14060e-03 9.99999e-01
4.353946028e-01 6.79046e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.79046e-03 9.99999e-01
4.375715758e-01 7.49417e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99997e-01 7.49419e-03 9.99999e-01
4.397594337e-01 8.25463e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99984e-01 8.25475e-03 9.99999e-01
4.419582309e-01 9.07447e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99923e-01 9.07516e-03 9.99999e-01
4.441680220e-01 9.95787e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99941e-01 9.95845e-03 9.99999e-01
4.463888621e-01 1.09070e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99939e-01 1.09077e-02 9.99999e-01
4.486208064e-01 1.19255e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99962e-01 1.19259e-02 9.99999e-01
4.508639105e-01 1.30160e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99982e-01 1.30163e-02 9.99999e-01
4.531182300e-01 1.41816e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99992e-01 1.41817e-02 9.99999e-01
4.553838212e-01 1.54254e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99994e-01 1.54254e-02 9.99999e-01
