CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.78724,6.8E-4,0.1002,0.0299,-0.0299,Lustig-Yaeger et al. 2023,0.03165,0.00441,-0.00514,Calculated,0.0859,0.0128,-0.0128,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.78792,6.8E-4,0.0813,0.0283,-0.0283,Lustig-Yaeger et al. 2023,0.02851,0.00459,-0.00549,Calculated,0.0774,0.0135,-0.0135,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.78859,6.8E-4,0.0721,0.0271,-0.0271,Lustig-Yaeger et al. 2023,0.02685,0.00464,-0.00564,Calculated,0.0729,0.0137,-0.0137,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.78927,6.8E-4,0.1075,0.0286,-0.0286,Lustig-Yaeger et al. 2023,0.03279,0.0041,-0.0047,Calculated,0.089,0.0118,-0.0118,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.78995,6.8E-4,0.1496,0.0284,-0.0284,Lustig-Yaeger et al. 2023,0.03868,0.00351,-0.00386,Calculated,0.105,0.01,-0.01,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.79062,6.8E-4,0.1198,0.028,-0.028,Lustig-Yaeger et al. 2023,0.03461,0.00383,-0.00431,Calculated,0.0939,0.011,-0.011,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.7913,6.8E-4,0.0767,0.026,-0.026,Lustig-Yaeger et al. 2023,0.02769,0.00435,-0.00518,Calculated,0.0752,0.0127,-0.0127,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.79197,6.8E-4,0.0894,0.0257,-0.0257,Lustig-Yaeger et al. 2023,0.0299,0.00403,-0.00466,Calculated,0.0811,0.0117,-0.0117,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.79265,6.8E-4,0.0839,0.0249,-0.0249,Lustig-Yaeger et al. 2023,0.02897,0.00402,-0.00468,Calculated,0.0786,0.0117,-0.0117,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
2.79332,6.8E-4,0.1175,0.0251,-0.0251,Lustig-Yaeger et al. 2023,0.03428,0.00348,-0.00388,Calculated,0.093,0.0099,-0.0099,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
