# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Jan 28 17:00:05 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O Rayleigh CIA
4.000000000e-01 1.60377e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.24695e-06 1.21596e-06 1.60377e-06 1.21596e-06
4.020000000e-01 1.60204e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.23792e-06 1.21596e-06 1.60204e-06 1.21596e-06
4.040100000e-01 1.60031e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.60031e-06 1.21596e-06
4.060300500e-01 1.59857e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.59857e-06 1.21596e-06
4.080602003e-01 1.59682e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.59682e-06 1.21596e-06
4.101005013e-01 1.59507e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.59507e-06 1.21596e-06
4.121510038e-01 1.59332e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.59332e-06 1.21596e-06
4.142117588e-01 1.59155e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.59155e-06 1.21596e-06
4.162828176e-01 1.58978e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.58978e-06 1.21596e-06
4.183642317e-01 1.58801e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.58801e-06 1.21596e-06
4.204560528e-01 1.58623e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.58623e-06 1.21596e-06
4.225583331e-01 1.58444e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.58444e-06 1.21596e-06
4.246711247e-01 1.58265e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.58265e-06 1.21596e-06
4.267944804e-01 1.58086e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.58086e-06 1.21596e-06
4.289284528e-01 1.57905e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.57905e-06 1.21596e-06
4.310730950e-01 1.57725e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.57725e-06 1.21596e-06
4.332284605e-01 1.57543e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.57543e-06 1.21596e-06
4.353946028e-01 1.57362e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.57362e-06 1.21596e-06
4.375715758e-01 1.57180e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.57180e-06 1.21596e-06
4.397594337e-01 1.56997e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.56997e-06 1.21596e-06
4.419582309e-01 1.56814e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21599e-06 1.56814e-06 1.21596e-06
4.441680220e-01 1.56631e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21599e-06 1.56631e-06 1.21596e-06
4.463888621e-01 1.56447e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.56447e-06 1.21596e-06
4.486208064e-01 1.56263e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.56263e-06 1.21596e-06
4.508639105e-01 1.56079e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.56079e-06 1.21596e-06
4.531182300e-01 1.55894e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.55894e-06 1.21596e-06
4.553838212e-01 1.55710e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.55710e-06 1.21596e-06
4.576607403e-01 1.55525e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.55525e-06 1.21596e-06
4.599490440e-01 1.55339e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.55339e-06 1.21596e-06
4.622487892e-01 1.55154e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.55154e-06 1.21596e-06
4.645600332e-01 1.54969e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.54969e-06 1.21596e-06
4.668828333e-01 1.54783e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.54783e-06 1.21596e-06
4.692172475e-01 1.54598e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.54598e-06 1.21596e-06
4.715633337e-01 1.54412e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.54412e-06 1.21596e-06
4.739211504e-01 1.54227e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.54227e-06 1.21596e-06
4.762907561e-01 1.54042e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.54042e-06 1.21596e-06
4.786722099e-01 1.53856e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.53856e-06 1.21596e-06
4.810655710e-01 1.53671e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.53671e-06 1.21596e-06
4.834708988e-01 1.53486e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.53486e-06 1.21596e-06
4.858882533e-01 1.53301e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.53301e-06 1.21596e-06
4.883176946e-01 1.53117e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.53117e-06 1.21596e-06
4.907592831e-01 1.52932e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52932e-06 1.21596e-06
4.932130795e-01 1.52748e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52748e-06 1.21596e-06
4.956791449e-01 1.52564e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52564e-06 1.21596e-06
4.981575406e-01 1.52380e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.52380e-06 1.21596e-06
5.006483283e-01 1.52197e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.52197e-06 1.21596e-06
5.031515699e-01 1.52015e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21617e-06 1.52014e-06 1.21596e-06
5.056673278e-01 1.51832e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21613e-06 1.51831e-06 1.21596e-06
5.081956644e-01 1.51649e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21609e-06 1.51649e-06 1.21596e-06
5.107366428e-01 1.51467e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21599e-06 1.51467e-06 1.21596e-06
5.132903260e-01 1.51285e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.51285e-06 1.21596e-06
