CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.00067,,2.1309,0.0094,-0.0094,JWST Transiting Exoplanet Community ERS Team 2022,0.14598,3.2E-4,-3.2E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2714,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.01389,,2.1338,0.0098,-0.0098,JWST Transiting Exoplanet Community ERS Team 2022,0.14608,3.4E-4,-3.4E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2722,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.02706,,2.1568,0.0097,-0.0097,JWST Transiting Exoplanet Community ERS Team 2022,0.14686,3.3E-4,-3.3E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2791,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.04017,,2.1504,0.0097,-0.0097,JWST Transiting Exoplanet Community ERS Team 2022,0.14664,3.3E-4,-3.3E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2772,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.05323,,2.1462,0.0097,-0.0097,JWST Transiting Exoplanet Community ERS Team 2022,0.1465,3.3E-4,-3.3E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2759,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.06624,,2.1196,0.0097,-0.0097,JWST Transiting Exoplanet Community ERS Team 2022,0.14559,3.3E-4,-3.3E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.268,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.07919,,2.1233,0.0097,-0.0097,JWST Transiting Exoplanet Community ERS Team 2022,0.14572,3.3E-4,-3.3E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2691,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.09209,,2.132,0.0098,-0.0098,JWST Transiting Exoplanet Community ERS Team 2022,0.14601,3.4E-4,-3.4E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2717,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.10494,,2.1234,0.01,-0.01,JWST Transiting Exoplanet Community ERS Team 2022,0.14572,3.4E-4,-3.4E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2691,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.11774,,2.108,0.0102,-0.0102,JWST Transiting Exoplanet Community ERS Team 2022,0.14519,3.5E-4,-3.5E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2645,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
3.13049,,2.1272,0.0102,-0.0102,JWST Transiting Exoplanet Community ERS Team 2022,0.14585,3.5E-4,-3.5E-4,JWST Transiting Exoplanet Community ERS Team 2022,1.2703,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
